video_id,start,end,motion,audio,cap_overlap,kw_density,score
mkcgVN90zl0,0.0,4.0,0.2663542330265045,0.13249072432518005,0.0,0.0,0.31776827573776245
mkcgVN90zl0,2.0,4.0,0.25807762145996094,0.11303456127643585,0.0,0.0,0.09219096601009369
mkcgVN90zl0,4.0,6.0,0.43470901250839233,0.11216633021831512,0.0,0.0,0.34739547967910767
mkcgVN90zl0,7.5,10.0,0.37136951088905334,0.1412898153066635,0.0,0.0,0.571562647819519
mkcgVN90zl0,12.5,16.0,0.3413776159286499,0.1327681988477707,0.0,0.0,0.4332459568977356
mkcgVN90zl0,16.0,19.5,0.36449432373046875,0.12580324709415436,0.0,0.0,0.3915788531303406
mkcgVN90zl0,19.5,22.0,0.2703525722026825,0.1286516636610031,0.0,0.0,0.2816975712776184
mkcgVN90zl0,22.0,26.0,0.31067994236946106,0.119139164686203,0.0,0.0,0.2379116415977478
mkcgVN90zl0,24.0,26.0,0.3458075523376465,0.10839498788118362,0.0,0.0,0.17283786833286285
mkcgVN90zl0,26.0,28.0,0.3869274854660034,0.12055817246437073,0.0,0.0,0.3677312731742859
mkcgVN90zl0,30.5,36.5,0.2304823100566864,0.13782471418380737,0.0,0.0,0.32244938611984253
mkcgVN90zl0,32.5,38.0,0.2968446612358093,0.12117449194192886,0.0,0.0,0.2394769787788391
mkcgVN90zl0,34.5,38.0,0.37251123785972595,0.12173812836408615,0.0,0.0,0.35905393958091736
mkcgVN90zl0,38.5,41.5,0.49738040566444397,0.14490270614624023,0.0,0.0,0.800000011920929
mkcgVN90zl0,42.0,45.0,0.3655734360218048,0.11850836873054504,0.0,0.0,0.31326913833618164
mkcgVN90zl0,45.0,47.0,0.32071876525878906,0.11383001506328583,0.0,0.0,0.1947866678237915
