video_id,start,end,motion,audio,cap_overlap,kw_density,score
ZunOBs9dxeQ,0.0,6.0,0.08031610399484634,0.1037052720785141,0.0,0.0,0.19005955755710602
ZunOBs9dxeQ,2.0,6.5,0.1577318161725998,0.11474975198507309,0.0,0.0,0.44860467314720154
ZunOBs9dxeQ,4.0,6.5,0.2446908950805664,0.12216092646121979,0.0,0.0,0.671655535697937
ZunOBs9dxeQ,8.0,11.5,0.1839706003665924,0.10954461246728897,0.0,0.0,0.4155438542366028
ZunOBs9dxeQ,11.5,17.5,0.0961584746837616,0.09684498608112335,0.0,0.0,0.11995875835418701
ZunOBs9dxeQ,13.5,18.5,0.1311095654964447,0.0998850092291832,0.0,0.0,0.210435152053833
ZunOBs9dxeQ,15.5,18.5,0.16410602629184723,0.09570012241601944,0.0,0.0,0.2007005363702774
ZunOBs9dxeQ,18.5,21.0,0.33535873889923096,0.11574584990739822,0.0,0.0,0.7134782671928406
ZunOBs9dxeQ,21.0,25.0,0.19063246250152588,0.10749398916959763,0.0,0.0,0.39731675386428833
ZunOBs9dxeQ,23.0,25.0,0.17254269123077393,0.09634949266910553,0.0,0.0,0.22140124440193176
ZunOBs9dxeQ,25.0,28.5,0.19704250991344452,0.10339969396591187,0.0,0.0,0.3511696457862854
ZunOBs9dxeQ,28.5,34.5,0.10446926951408386,0.1029483824968338,0.0,0.0,0.2140411138534546
ZunOBs9dxeQ,30.5,36.5,0.05278213322162628,0.10191403329372406,0.0,0.0,0.12692509591579437
ZunOBs9dxeQ,32.5,38.0,0.11801991611719131,0.1021597683429718,0.0,0.0,0.22258642315864563
ZunOBs9dxeQ,34.5,38.0,0.15741559863090515,0.09827639907598495,0.0,0.0,0.225976824760437
ZunOBs9dxeQ,38.0,42.0,0.15970493853092194,0.11689712852239609,0.0,0.0,0.48035991191864014
ZunOBs9dxeQ,40.0,42.0,0.14407183229923248,0.11506970971822739,0.0,0.0,0.43358367681503296
ZunOBs9dxeQ,42.0,48.0,0.14496158063411713,0.10301298648118973,0.0,0.0,0.2722311317920685
ZunOBs9dxeQ,44.0,49.5,0.1119827851653099,0.09695372730493546,0.0,0.0,0.14382541179656982
ZunOBs9dxeQ,46.0,49.5,0.10639242827892303,0.09250328689813614,0.0,0.0,0.07588779926300049
