video_id,start,end,motion,audio,cap_overlap,kw_density,score
DEcPCsOSwj8,2.5,6.5,0.4439021348953247,0.040020935237407684,0.0,0.0,0.4110851585865021
DEcPCsOSwj8,4.5,6.5,0.37443774938583374,0.04492931067943573,0.0,0.0,0.4188689887523651
DEcPCsOSwj8,8.0,13.0,0.2881200611591339,0.041429005563259125,0.0,0.0,0.23929572105407715
DEcPCsOSwj8,10.0,13.0,0.24617362022399902,0.04264526069164276,0.0,0.0,0.2095419466495514
DEcPCsOSwj8,13.0,15.0,0.3323466181755066,0.049592699855566025,0.0,0.0,0.45688676834106445
DEcPCsOSwj8,15.0,21.0,0.23458363115787506,0.04603729769587517,0.0,0.0,0.26156651973724365
DEcPCsOSwj8,17.0,23.0,0.2037232220172882,0.04651767387986183,0.0,0.0,0.23150622844696045
DEcPCsOSwj8,19.0,25.0,0.19878213107585907,0.04792647063732147,0.0,0.0,0.2529500126838684
DEcPCsOSwj8,21.0,27.0,0.1626727283000946,0.04617138206958771,0.0,0.0,0.17209599912166595
DEcPCsOSwj8,23.0,29.0,0.26432153582572937,0.04340464994311333,0.0,0.0,0.24775904417037964
DEcPCsOSwj8,25.0,29.0,0.2905641794204712,0.04122982546687126,0.0,0.0,0.23849986493587494
DEcPCsOSwj8,27.0,29.0,0.4318632185459137,0.04062816873192787,0.0,0.0,0.40763503313064575
DEcPCsOSwj8,30.5,34.5,0.47494232654571533,0.04701889306306839,0.0,0.0,0.5888038873672485
DEcPCsOSwj8,32.5,34.5,0.42416149377822876,0.05012434348464012,0.0,0.0,0.584977388381958
DEcPCsOSwj8,41.5,46.5,0.37858304381370544,0.037441760301589966,0.0,0.0,0.27656909823417664
DEcPCsOSwj8,43.5,46.5,0.35162898898124695,0.040057625621557236,0.0,0.0,0.29361170530319214
DEcPCsOSwj8,48.0,51.5,0.4128906726837158,0.04095492139458656,0.0,0.0,0.3897738456726074
DEcPCsOSwj8,52.5,58.5,0.22217872738838196,0.049643732607364655,0.0,0.0,0.3167738914489746
DEcPCsOSwj8,54.5,59.0,0.17607833445072174,0.05378540977835655,0.0,0.0,0.339370995759964
DEcPCsOSwj8,56.5,59.0,0.17731209099292755,0.057731881737709045,0.0,0.0,0.4187522232532501
