video_id,start,end,motion,audio,cap_overlap,kw_density,score
6cpSbwRNCyU,0.0,4.0,0.2683016061782837,0.33005616068840027,0.0,0.0,0.09259646385908127
6cpSbwRNCyU,2.0,4.0,0.3832473158836365,0.3172255754470825,0.0,0.0,0.295476496219635
6cpSbwRNCyU,4.0,6.0,0.4618159234523773,0.2707968056201935,0.0,0.0,0.37530654668807983
6cpSbwRNCyU,6.0,10.0,0.43697527050971985,0.36587217450141907,0.0,0.0,0.47569119930267334
6cpSbwRNCyU,8.0,10.0,0.4745482802391052,0.38330861926078796,0.0,0.0,0.5758067965507507
6cpSbwRNCyU,10.5,16.0,0.35549330711364746,0.32619673013687134,0.0,0.0,0.25566765666007996
6cpSbwRNCyU,12.5,16.0,0.3219596743583679,0.2944784462451935,0.0,0.0,0.14106985926628113
6cpSbwRNCyU,19.5,21.5,0.4670429229736328,0.4771071970462799,0.0,0.0,0.7078168988227844
6cpSbwRNCyU,21.5,23.5,0.41184550523757935,0.511418342590332,0.0,0.0,0.6543789505958557
6cpSbwRNCyU,23.5,26.0,0.472212553024292,0.5267865061759949,0.0,0.0,0.7954699993133545
