video_id,start,end,motion,audio,cap_overlap,kw_density,score
mXn5S5HfH7k,2.0,4.0,0.5991674661636353,0.07020533829927444,0.0,0.0,0.481192409992218
mXn5S5HfH7k,6.0,8.5,0.48202061653137207,0.07906381785869598,0.0,0.0,0.45438915491104126
mXn5S5HfH7k,8.5,10.5,0.44536733627319336,0.0658126175403595,0.0,0.0,0.3020596206188202
mXn5S5HfH7k,11.5,16.0,0.41361039876937866,0.07075602561235428,0.0,0.0,0.3176299035549164
mXn5S5HfH7k,13.5,16.0,0.38264501094818115,0.07186026871204376,0.0,0.0,0.29942941665649414
mXn5S5HfH7k,22.5,25.0,0.49891361594200134,0.07433738559484482,0.0,0.0,0.42726975679397583
mXn5S5HfH7k,27.0,29.0,0.5858219861984253,0.10478530824184418,0.0,0.0,0.7797260284423828
mXn5S5HfH7k,30.0,34.5,0.5174139738082886,0.0729072242975235,0.0,0.0,0.43122240900993347
mXn5S5HfH7k,32.0,34.5,0.49353107810020447,0.07141730934381485,0.0,0.0,0.3961488604545593
mXn5S5HfH7k,36.0,39.0,0.44712013006210327,0.06302928924560547,0.0,0.0,0.2786470055580139
mXn5S5HfH7k,40.0,43.5,0.3703768253326416,0.06208166480064392,0.0,0.0,0.2004411220550537
mXn5S5HfH7k,43.5,46.0,0.49657440185546875,0.07328024506568909,0.0,0.0,0.41564851999282837
mXn5S5HfH7k,46.0,48.5,0.5414400100708008,0.07050120085477829,0.0,0.0,0.43142634630203247
mXn5S5HfH7k,49.5,51.5,0.4562969207763672,0.06069786101579666,0.0,0.0,0.2660360634326935
mXn5S5HfH7k,51.5,53.5,0.6081469655036926,0.06675233691930771,0.0,0.0,0.4583265483379364
mXn5S5HfH7k,53.5,58.0,0.21665437519550323,0.06216554716229439,0.0,0.0,0.06159491837024689
mXn5S5HfH7k,55.5,58.0,0.1676807850599289,0.06025978922843933,0.0,0.0,0.0
